  ,95 Express Lanes / 436339933 / 1,95 Express Lanes / 51826731 / 1,95 Express Lanes / 636701141 / 1,95 Express Lanes / 636701144 / 1,I 95 / 307480708 / 1,I 95 / 51826852 / 1,I 95 / 870344425 / 3,I 95 / 872163516 / 1,I 95 / 872165161 / 1,I 95 / 930885998 / 1,motorway_link / 124891274 / 1,motorway_link / 20419324 / 1,motorway_link / 20419653 / 1,motorway_link / 20423565 / 1,motorway_link / 20424282 / 1,motorway_link / 20426152 / 1,motorway_link / 20428381 / 1,motorway_link / 20428850 / 1,motorway_link / 20439589 / 1,motorway_link / 20440919 / 1,motorway_link / 20440946 / 1,motorway_link / 20441368 / 1,motorway_link / 206378233 / 1,motorway_link / 291999598 / 1,motorway_link / 51808516 / 1,motorway_link / 537938574 / 4,motorway_link / 537938954 / 1,motorway_link / 61155962 / 1
95 Express Lanes / 436339933 / 1,0,555,563,668,0,32,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95 Express Lanes / 51826731 / 1,684,0,654,696,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
95 Express Lanes / 636701141 / 1,370,331,0,560,0,15369,15983,147,296,144,0,22,208,0,10,0,9,0,0,126,0,1187,0,0,0,9,0,0
95 Express Lanes / 636701144 / 1,363,194,13129,0,0,12799,13450,138,231,136,0,0,199,0,10,0,0,0,0,108,0,1204,0,0,0,0,0,0
I 95 / 307480708 / 1,44,48,63,21,0,60304,68639,1563,1532,1110,24,0,884,27,123,0,282,8,227,459,6653,10146,0,2678,0,214,20,0
I 95 / 51826856 / 1,0,0,40,40,723,819,760,78842,99285,63082,0,1237,27,1127,13506,0,7488,129,6360,19766,54,90,81,58,13,1767,0,0
I 95 / 687358695 / 1,21,23,463,0,59705,48169,54321,1056,961,901,501,0,603,18,30,2079,36,6062,135,154,4730,7775,5303,1759,0,499,20,0
I 95 / 870344425 / 3,29,32,49,28,0,89215,0,1307,2092,924,0,0,1359,54,111,0,227,0,192,822,0,12517,0,0,0,165,0,0
I 95 / 872163516 / 1,0,0,72,51,906,677,810,0,24,75938,32,1200,36,0,30,0,10092,144,8543,9,98,161,96,80,0,2368,0,0
I 95 / 872165161 / 1,0,0,56,45,913,820,963,90061,0,72372,8,1263,36,1292,44,0,9166,128,7639,22117,117,185,81,56,12,2013,40,0
motorway_link / 124891274 / 1,0,0,2348,0,0,2502,2451,8,16,0,0,0,9,0,0,0,10,0,0,10,0,20,0,0,0,0,0,0
motorway_link / 175659792 / 1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,24,0,0,0,0,0,0,0,1634,0,0
motorway_link / 175659796 / 1,0,0,21,0,1856,1832,1900,0,24,0,23,0,0,0,0,0,0,173,0,27,0,134,24,39,0,0,0,0
motorway_link / 20422548 / 1,0,0,812,0,5107,4925,5367,72,201,27,870,0,130,0,0,0,87,0,0,216,257,595,0,390,0,0,0,0
motorway_link / 20422572 / 1,0,0,0,0,64,57,64,0,0,0,0,8,0,0,0,0,0,40,243,0,0,10,0,0,0,5941,0,0
motorway_link / 20428464 / 1,0,0,119,0,1606,1293,1608,80,140,24,125,0,54,0,44,0,100,0,0,60,52,369,0,80,0,0,0,0
motorway_link / 20429249 / 1,0,0,0,0,0,13852,14690,161,380,71,0,0,324,0,39,0,72,0,33,277,77,1020,0,0,0,0,0,0
motorway_link / 20432309 / 2,0,0,40,0,231,99,110,13874,33,10039,33,77,12,0,0,0,1767,55,1724,0,55,0,22,88,0,752,0,0
motorway_link / 20433217 / 1,0,0,0,0,0,14791,0,177,211,66,0,0,0,0,195,0,65,0,61,39,0,52,0,0,0,0,0,0
motorway_link / 20433806 / 1,0,0,257,0,2666,1989,2235,182,72,114,269,0,18,0,11,0,50,0,29,30,589,318,0,162,0,0,11,0
motorway_link / 20435035 / 1,0,0,774,0,6326,5072,5854,225,213,63,829,0,50,10,45,0,11,0,174,30,1091,1103,0,277,0,33,0,0
motorway_link / 20438740 / 1,0,0,0,0,48,48,48,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,8,0,0,7739,0,0
motorway_link / 20439725 / 1,0,0,0,0,57,56,64,2474,3195,2066,0,32,9,20,0,0,162,0,97,745,27,0,0,0,0,131,0,0
motorway_link / 20441697 / 1,0,0,0,0,0,1000,1165,0,30,0,0,0,0,33,12,0,0,0,0,0,0,239,0,0,0,0,0,0
motorway_link / 51808516 / 1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 51862982 / 1,0,0,0,0,0,2004,0,9,36,9,0,0,0,0,11,0,0,0,0,33,0,0,0,0,0,0,0,0
motorway_link / 537938954 / 1,395,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
motorway_link / 61155962 / 1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155967 / 1,0,0,18,9,190,120,210,12050,14612,8861,10,40,0,239,0,0,1853,0,1466,2389,40,145,0,10,0,323,0,0
