  ,95 Express Lanes / 436339933 / 1,95 Express Lanes / 51826731 / 1,95 Express Lanes / 636701141 / 1,95 Express Lanes / 636701144 / 1,I 95 / 307480708 / 1,I 95 / 51826852 / 1,I 95 / 870344425 / 3,I 95 / 872163516 / 1,I 95 / 872165161 / 1,I 95 / 930885998 / 1,motorway_link / 124891274 / 1,motorway_link / 20419324 / 1,motorway_link / 20419653 / 1,motorway_link / 20423565 / 1,motorway_link / 20424282 / 1,motorway_link / 20426152 / 1,motorway_link / 20428381 / 1,motorway_link / 20428850 / 1,motorway_link / 20439589 / 1,motorway_link / 20440919 / 1,motorway_link / 20440946 / 1,motorway_link / 20441368 / 1,motorway_link / 206378233 / 1,motorway_link / 291999598 / 1,motorway_link / 51808516 / 1,motorway_link / 537938574 / 4,motorway_link / 537938954 / 1,motorway_link / 61155962 / 1
95 Express Lanes / 436339933 / 1,0,516,473,541,18,68,30,0,43,18,0,0,0,0,0,0,8,0,7,0,0,0,0,0,40,8,16,0
95 Express Lanes / 51826731 / 1,597,0,714,628,18,28,28,0,44,18,0,0,0,0,0,0,8,0,7,0,0,0,0,0,30,8,73,0
95 Express Lanes / 636701141 / 1,234,187,0,554,18,16450,17360,187,274,174,0,0,300,0,8,0,43,18,0,101,0,1495,0,0,10,22,0,0
95 Express Lanes / 636701144 / 1,150,138,14161,0,0,13759,14706,162,238,144,0,0,305,0,0,0,15,0,0,92,0,1436,0,0,0,15,0,0
I 95 / 307480708 / 1,30,30,6,0,0,53426,61265,1395,1248,1068,6,0,893,7,72,0,194,6,142,265,7077,10000,6,2532,0,60,32,0
I 95 / 51826856 / 1,6,0,37,37,695,1008,831,82058,101750,68151,0,1047,21,897,15215,18,8086,36,5728,19523,105,64,35,35,0,1529,0,0
I 95 / 687358695 / 1,54,36,390,17,53357,41617,47430,1048,860,904,393,0,670,0,56,1961,78,5220,56,93,5349,7771,4581,1638,0,321,24,0
I 95 / 870344425 / 3,6,6,6,6,0,82219,0,1249,1786,941,0,0,1328,7,121,0,236,18,113,519,0,12723,6,0,0,31,0,0
I 95 / 872163516 / 1,0,0,42,42,973,742,828,0,0,82939,0,1081,7,0,8,24,10124,72,8138,0,167,112,104,92,0,1853,0,0
I 95 / 872165161 / 1,6,0,36,36,823,831,924,94197,0,77977,0,1060,7,1040,0,18,9593,54,6741,21383,105,136,55,40,0,1651,48,0
motorway_link / 124891274 / 1,0,0,2470,0,0,2622,2582,24,30,6,0,0,0,0,8,0,24,0,0,8,0,40,0,0,0,0,0,0
motorway_link / 175659792 / 1,0,0,0,0,30,24,30,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,1445,0,0
motorway_link / 175659796 / 1,0,0,5,0,1966,1921,1941,12,6,6,6,0,0,0,8,0,0,30,7,0,18,95,36,6,0,7,0,0
motorway_link / 20422548 / 1,7,7,924,0,5084,5103,5533,92,195,63,981,0,104,8,9,0,41,0,0,105,181,585,63,364,0,32,9,0
motorway_link / 20422572 / 1,0,0,0,0,61,21,44,12,7,12,0,43,14,0,0,6,0,99,52,0,21,8,67,21,0,6723,0,0
motorway_link / 20428464 / 1,0,0,97,0,1655,1249,1538,48,42,12,101,0,35,0,0,0,48,6,7,8,42,346,0,204,0,0,0,0
motorway_link / 20429249 / 1,0,0,0,0,0,13481,13982,154,252,56,0,0,54,0,20,0,90,0,27,163,96,925,0,0,0,0,0,0
motorway_link / 20432309 / 2,0,0,32,8,297,207,197,15246,9,11627,0,123,9,0,11,32,1233,48,2128,0,117,0,68,81,0,522,0,0
motorway_link / 20433217 / 1,0,0,0,0,27,15213,0,180,208,124,0,0,0,0,562,0,30,0,30,60,27,40,0,0,0,0,0,0
motorway_link / 20433806 / 1,0,0,301,0,2210,1642,1998,109,49,74,329,0,28,0,18,0,16,0,16,32,412,464,0,161,0,0,0,0
motorway_link / 20435035 / 1,7,0,919,0,6759,5784,6393,189,178,63,975,0,64,0,0,0,40,0,105,64,1147,909,0,251,11,0,0,0
motorway_link / 20438740 / 1,0,0,24,24,66,56,55,0,0,0,0,30,0,0,0,0,0,36,0,0,42,0,60,0,0,7338,0,0
motorway_link / 20439725 / 1,0,0,0,0,30,21,18,2449,3104,2095,0,6,0,24,0,0,259,18,124,635,14,0,0,0,0,24,0,0
motorway_link / 20441697 / 1,0,0,0,0,0,1103,1382,0,32,0,0,0,24,0,30,0,0,0,0,18,0,342,0,0,0,0,0,0
motorway_link / 51808516 / 1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
motorway_link / 51862982 / 1,0,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 537938954 / 1,400,356,0,0,0,0,0,0,0,24,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155962 / 1,0,35,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorway_link / 61155967 / 1,0,0,0,0,136,88,152,14077,16424,11147,0,62,0,128,0,0,1638,0,1179,2084,8,91,32,8,0,229,0,0
